Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.09     0.00      256     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::vector()
  0.00      0.09     0.00      256     0.00     0.00  void std::_Construct<std::vector<HSLA, std::allocator<HSLA> >>(std::vector<HSLA, std::allocator<HSLA> >*)
  0.00      0.09     0.00      256     0.00     0.00  void std::_Destroy<std::vector<HSLA, std::allocator<HSLA> > >(std::vector<HSLA, std::allocator<HSLA> >*)
  0.00      0.09     0.00      255     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >::operator+=(long)
  0.00      0.09     0.00      255     0.00     0.00  HSLA* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<HSLA>(HSLA const*, HSLA const*, HSLA*)
  0.00      0.09     0.00      255     0.00     0.00  HSLA* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, HSLA*>(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, HSLA*)
  0.00      0.09     0.00      255     0.00     0.00  HSLA* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<HSLA*>, HSLA*>(std::move_iterator<HSLA*>, std::move_iterator<HSLA*>, HSLA*)
  0.00      0.09     0.00      255     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > >::difference_type std::__distance<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, std::random_access_iterator_tag)
  0.00      0.09     0.00      255     0.00     0.00  HSLA* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, HSLA*>(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, HSLA*)
  0.00      0.09     0.00      255     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > std::__copy_move_a<false, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >)
  0.00      0.09     0.00      255     0.00     0.00  HSLA* std::__copy_move_a<true, HSLA*, HSLA*>(HSLA*, HSLA*, HSLA*)
  0.00      0.09     0.00      255     0.00     0.00  HSLA* std::__copy_move_a1<true, HSLA*, HSLA*>(HSLA*, HSLA*, HSLA*)
  0.00      0.09     0.00      255     0.00     0.00  HSLA* std::__copy_move_a2<true, HSLA*, HSLA*>(HSLA*, HSLA*, HSLA*)
  0.00      0.09     0.00      255     0.00     0.00  HSLA* std::uninitialized_copy<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, HSLA*>(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, HSLA*)
  0.00      0.09     0.00      255     0.00     0.00  HSLA* std::uninitialized_copy<std::move_iterator<HSLA*>, HSLA*>(std::move_iterator<HSLA*>, std::move_iterator<HSLA*>, HSLA*)
